Name,Code
삼성전자,005930
SK하이닉스,000660
현대차,005380
LG에너지솔루션,373220
삼성전자우,005935
삼성바이오로직스,207940
한화에어로스페이스,012450
HD현대중공업,329180
기아,000270
두산에너빌리티,034020
SK스퀘어,402340
KB금융,105560
삼성물산,028260
셀트리온,068270
한화오션,042660
현대모비스,012330
신한지주,055550
NAVER,035420
한국전력,015760
삼성생명,032830
고려아연,010130
HD현대일렉트릭,267260
HD한국조선해양,009540
POSCO홀딩스,005490
삼성중공업,010140
하나금융지주,086790
삼성SDI,006400
카카오,035720
LG화학,051910
현대로템,064350
삼성화재,000810
효성중공업,298040
삼성전기,009150
SK,034730
우리금융지주,316140
현대글로비스,086280
HD현대,267250
HMM,011200
메리츠금융지주,138040
미래에셋증권,006800
SK이노베이션,096770
포스코퓨처엠,003670
LG전자,066570
한화시스템,272210
KT&G,033780
한미반도체,042700
기업은행,024110
한국항공우주,047810
LS ELECTRIC,010120
삼성에피스홀딩스,0126Z0
하이브,352820
삼성에스디에스,018260
LG,003550
KT,030200
두산,000150
현대오토에버,307950
SK텔레콤,017670
LIG넥스원,079550
현대건설,000720
크래프톤,259960
포스코인터내셔널,047050
S-Oil,010950
현대차2우B,005387
한국금융지주,071050
카카오뱅크,323410
한화,000880
SK바이오팜,326030
대한항공,003490
삼양식품,003230
에이피알,278470
DB손해보험,005830
키움증권,039490
한진칼,180640
이수페타시스,007660
유한양행,000100
HD현대마린솔루션,443060
NH투자증권,005940
한국타이어앤테크놀로지,161390
삼성증권,016360
아모레퍼시픽,090430
LS,006260
두산로보틱스,454910
LG씨엔에스,064400
LG이노텍,011070
현대차우,005385
LG유플러스,032640
카카오페이,377300
포스코DX,022100
LG디스플레이,034220
삼성카드,029780
두산밥캣,241560
한미약품,128940
GS,078930
코웨이,021240
맥쿼리인프라,088980
CJ,001040
한전기술,052690
엔씨소프트,036570
삼성E&A,028050
대한전선,001440
한화솔루션,009830
BNK금융지주,138930
한화엔진,082740
엘앤에프,066970
오리온,271560
JB금융지주,175330
산일전기,062040
SKC,011790
현대제철,004020
넷마블,251270
LG생활건강,051900
에코프로머티,450080
KCC,002380
SK바이오사이언스,302440
강원랜드,035250
DB하이텍,000990
금호석유화학,011780
영원무역,111770
한국가스공사,036460
현대엘리베이터,017800
풍산,103140
서울보증보험,031210
한온시스템,018880
HD현대마린엔진,071970
롯데케미칼,011170
HL만도,204320
CJ제일제당,097950
일진전기,103590
롯데지주,004990
에스원,012750
더존비즈온,012510
한화생명,088350
한솔케미칼,014680
한화비전,489790
신세계,004170
한올바이오파마,009420
대한조선,439260
한미사이언스,008930
HD현대인프라코어,042670
대덕전자,353200
세아베스틸지주,001430
한전KPS,051600
동서,026960
효성,004800
한국앤컴퍼니,000240
영원무역홀딩스,009970
농심,004370
두산퓨얼셀,336260
현대위아,011210
F&F,383220
에스엘,005850
신영증권,001720
현대해상,001450
제일기획,030000
이수스페셜티케미컬,457190
HJ중공업,097230
미스토홀딩스,081660
이마트,139480
CJ대한통운,000120
iM금융지주,139130
팬오션,028670
OCI홀딩스,010060
코리안리,003690
HD현대건설기계,267270
롯데쇼핑,023530
현대백화점,069960
코스맥스,192820
두산우,000155
SK가스,018670
아모레퍼시픽홀딩스,002790
시프트업,462870
SK아이이테크놀로지,361610
BGF리테일,282330
한국카본,017960
대웅제약,069620
대우건설,047040
녹십자,006280
SNT다이내믹스,003570
호텔신라,008770
동원산업,006040
미래에셋증권2우B,00680K
롯데에너지머티리얼즈,020150
금호타이어,073240
다우기술,023590
GS리테일,007070
달바글로벌,483650
씨에스윈드,112610
DL이앤씨,375500
SK리츠,395400
롯데관광개발,032350
GS건설,006360
아시아나항공,020560
미래에셋생명,085620
파라다이스,034230
오뚜기,007310
가온전선,000500
엠앤씨솔루션,484870
한국콜마,161890
STX엔진,077970
코리아써키트,007810
코스모신소재,005070
DN오토모티브,007340
LX인터내셔널,001120
대신증권,003540
HDC현대산업개발,294870
현대지에프홀딩스,005440
LG화학우,051915
오리온홀딩스,001800
대웅,003090
하이트진로,000080
